player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Jamie Hanson,Defensive Midfield,1995-11-10,24,England,Oxford United,League One,2020/2021,2020
Liam Kelly,Central Midfield,1995-11-22,24,Ireland,Oxford United,League One,2020/2021,2020
Sean Clare,Central Midfield,1996-09-18,24,England,Oxford United,League One,2020/2021,2020
Marcus McGuane,Central Midfield,1999-02-02,21,England,Oxford United,League One,2020/2021,2020
Alex Gorrin,Central Midfield,1993-08-01,27,Spain,Oxford United,League One,2020/2021,2020
Cameron Brannagan,Central Midfield,1996-05-09,24,England,Oxford United,League One,2020/2021,2020
Mark Sykes,Central Midfield,1997-08-04,23,Ireland,Oxford United,League One,2020/2021,2020
Anthony Forde,Right Midfield,1993-11-16,26,Ireland,Oxford United,League One,2020/2021,2020
Joel Cooper,Left Midfield,1996-02-29,24,Northern Ireland,Oxford United,League One,2020/2021,2020
Malachi Napa,Attacking Midfield,1999-05-26,21,England,Oxford United,League One,2020/2021,2020
Matty Taylor,Forward,1990-03-30,30,England,Oxford United,League One,2020/2021,2020
Olamide Shodipo,Left Winger,1997-07-05,23,Ireland,Oxford United,League One,2020/2021,2020
James Henry,Right Winger,1989-06-10,31,England,Oxford United,League One,2020/2021,2020
Rob Hall,Right Winger,1993-10-20,27,England,Oxford United,League One,2020/2021,2020
Sam Winnall,Centre-Forward,1991-01-19,29,England,Oxford United,League One,2020/2021,2020
Derick Osei Yaw,Centre-Forward,1998-09-10,22,France,Oxford United,League One,2020/2021,2020
Dan Agyei,Centre-Forward,1997-06-01,23,England,Oxford United,League One,2020/2021,2020
Dylan Asonganyi,Centre-Forward,2000-12-10,19,England,Oxford United,League One,2020/2021,2020
Laurie Walker,Goalkeeper,1989-10-14,31,England,Milton Keynes Dons,League One,2020/2021,2020
Lee Nicholls,Goalkeeper,1992-10-05,28,England,Milton Keynes Dons,League One,2020/2021,2020
Andy Fisher,Goalkeeper,1998-02-12,22,England,Milton Keynes Dons,League One,2020/2021,2020
Richard Keogh,Centre-Back,1986-08-11,34,Ireland,Milton Keynes Dons,League One,2020/2021,2020
Regan Poole,Centre-Back,1998-06-18,22,Wales,Milton Keynes Dons,League One,2020/2021,2020
Baily Cargill,Centre-Back,1995-07-05,25,England,Milton Keynes Dons,League One,2020/2021,2020
Warren O'Hora,Centre-Back,1999-04-19,21,Ireland,Milton Keynes Dons,League One,2020/2021,2020
Daniel Harvie,Left-Back,1998-07-14,22,Scotland,Milton Keynes Dons,League One,2020/2021,2020
Dean Lewington,Left-Back,1984-05-18,36,England,Milton Keynes Dons,League One,2020/2021,2020
Matthew Sorinola,Left-Back,2001-02-19,19,England,Milton Keynes Dons,League One,2020/2021,2020
George Williams,Right-Back,1993-04-14,27,England,Milton Keynes Dons,League One,2020/2021,2020
John Freeman,Midfielder,2001-11-04,19,England,Milton Keynes Dons,League One,2020/2021,2020
Louis Thompson,Defensive Midfield,1994-12-19,25,Wales,Milton Keynes Dons,League One,2020/2021,2020
Jordan Houghton,Defensive Midfield,1995-11-05,25,England,Milton Keynes Dons,League One,2020/2021,2020
Ben Gladwin,Central Midfield,1992-06-08,28,England,Milton Keynes Dons,League One,2020/2021,2020
David Kasumu,Central Midfield,1999-10-05,21,England,Milton Keynes Dons,League One,2020/2021,2020
Lasse Sörensen,Central Midfield,1999-10-21,21,Denmark,Milton Keynes Dons,League One,2020/2021,2020
Scott Fraser,Attacking Midfield,1995-03-30,25,Scotland,Milton Keynes Dons,League One,2020/2021,2020
Stephen Walker,Second Striker,2000-10-11,20,England,Milton Keynes Dons,League One,2020/2021,2020
Joe Mason,Centre-Forward,1991-05-13,29,Ireland,Milton Keynes Dons,League One,2020/2021,2020
Kieran Agard,Centre-Forward,1989-10-10,31,England,Milton Keynes Dons,League One,2020/2021,2020
Cameron Jerome,Centre-Forward,1986-08-14,34,England,Milton Keynes Dons,League One,2020/2021,2020
Carlton Morris,Centre-Forward,1995-12-16,24,England,Milton Keynes Dons,League One,2020/2021,2020
Jay Bird,Centre-Forward,2000-09-13,20,England,Milton Keynes Dons,League One,2020/2021,2020
Jamie Jones,Goalkeeper,1989-02-18,31,England,Wigan Athletic,League One,2020/2021,2020
Owen Evans,Goalkeeper,1996-11-28,23,Wales,Wigan Athletic,League One,2020/2021,2020
Sam Tickle,Goalkeeper,2002-03-31,18,England,Wigan Athletic,League One,2020/2021,2020
